Date,Bitfinex-BTC-USD,Bithumb-BTC-KRW
2018-10-12 23:59,6266.9,7218000
2018-10-12 23:59,6266.9,7218000
2018-10-12 23:59,6267.29,7218000
2018-10-12 23:59,6267.29,7218000
2018-10-12 23:59,6267.29,7218000
2018-10-12 23:59,6267.29,7218000
2018-10-13 00:03,6268.67,7218000
2018-10-13 00:04,6268.95,7218000
2018-10-13 00:06,6269.65,7218000
2018-10-13 00:09,6269.43,7218000
2018-10-13 00:10,6269.73,7218000
2018-10-13 00:11,6270.35,7217000
2018-10-13 00:12,6271.81,7217000
2018-10-13 00:13,6272.07,7217000
2018-10-13 00:14,6271.87,7217000
2018-10-13 00:15,6273.22,7218000
2018-10-13 00:16,6273.83,7215000
2018-10-13 00:17,6273.19,7215000
2018-10-13 00:18,6273.48,7215000
2018-10-13 00:19,6274.65,7215000
2018-10-13 00:20,6276,7215000
2018-10-13 00:21,6277.55,7215000
2018-10-13 00:22,6277.7,7218000
2018-10-13 00:23,6280.37,7217000
2018-10-13 00:24,6281.73,7215000
2018-10-13 00:25,6281.62,7216000
2018-10-13 00:26,6279.87,7217000
2018-10-13 00:27,6279.66,7217000
2018-10-13 00:28,6280.11,7217000
2018-10-13 00:29,6281.89,7217000
2018-10-13 00:30,6284.3,7217000
2018-10-13 00:31,6283.63,7218000
2018-10-13 00:32,6283.35,7217000
2018-10-13 00:33,6280.45,7210000
2018-10-13 00:34,6282.13,7213000
2018-10-13 00:35,6281.88,7214000
2018-10-13 00:36,6283.03,7215000
2018-10-13 00:37,6283.29,7217000
2018-10-13 00:38,6283.48,7216000
2018-10-13 00:39,6283.65,7217000
2018-10-13 00:40,6283.48,7218000
2018-10-13 00:41,6284.85,7219000
2018-10-13 00:42,6284.1,7220000
2018-10-13 00:43,6283.63,7222000
2018-10-13 00:44,6282.9,7221000
2018-10-13 00:45,6284.87,7219000
2018-10-13 00:46,6286.62,7223000
2018-10-13 00:47,6291.07,7225000
2018-10-13 00:48,6289.41,7223000
2018-10-13 00:49,6290.72,7223000
2018-10-13 00:50,6292.54,7225000
2018-10-13 00:51,6292.69,7225000
2018-10-13 00:52,6290.27,7224000
2018-10-13 00:53,6290.37,7229000
2018-10-13 00:54,6289.03,7225000
